datetime,GHI,DNI,DHI,Temperature,Wind Speed,Relative Humidity,Pressure,Dew Point
2022-01-01 00:00:00,0,0,0,21.4,4.800000000000001,97.33,987,21.0
2022-01-01 01:00:00,0,0,0,21.5,5.2,96.46,987,20.9
2022-01-01 02:00:00,0,0,0,21.4,5.2,96.37,986,20.8
2022-01-01 03:00:00,0,0,0,21.4,5.1000000000000005,95.71,986,20.700000000000003
2022-01-01 04:00:00,0,0,0,21.4,5.1000000000000005,95.4,986,20.6
2022-01-01 05:00:00,0,0,0,21.3,4.800000000000001,96.15,986,20.700000000000003
2022-01-01 06:00:00,0,0,0,21.1,4.2,97.22,986,20.6
2022-01-01 07:00:00,0,0,0,21.200000000000003,3.7,95.35,987,20.4
2022-01-01 08:00:00,10,0,10,21.9,3.6,90.25,988,20.200000000000003
2022-01-01 09:00:00,84,2,83,23.0,3.6,81.77,988,19.700000000000003
2022-01-01 10:00:00,152,7,148,23.9,3.6,71.57000000000001,989,18.4
2022-01-01 11:00:00,76,0,75,24.4,3.7,61.57,988,16.5
2022-01-01 12:00:00,193,8,188,24.6,3.5,53.67,988,14.6
2022-01-01 13:00:00,210,16,201,25.0,3.0,46.07,987,12.6
2022-01-01 14:00:00,171,10,166,25.5,2.3000000000000003,39.74,987,10.8
2022-01-01 15:00:00,122,10,119,25.200000000000003,1.3,37.49,987,9.7
2022-01-01 16:00:00,128,73,113,23.200000000000003,0.7000000000000001,49.68,988,12.1
2022-01-01 17:00:00,21,244,13,20.5,0.8,60.6,989,12.6
2022-01-01 18:00:00,0,0,0,18.5,1.1,65.0,990,11.8
2022-01-01 19:00:00,0,0,0,16.900000000000002,1.6,71.29,991,11.7
2022-01-01 20:00:00,0,0,0,15.5,2.9000000000000004,74.15,993,10.9
2022-01-01 21:00:00,0,0,0,13.1,5.1000000000000005,75.29,994,8.8
2022-01-01 22:00:00,0,0,0,8.700000000000001,7.2,79.67,997,5.4
2022-01-01 23:00:00,0,0,0,4.0,8.200000000000001,77.46000000000001,999,0.4
2022-01-02 00:00:00,0,0,0,1.1,8.0,67.91,1001,-4.2
2022-01-02 01:00:00,0,0,0,-0.1,7.6,57.83,1002,-7.4
2022-01-02 02:00:00,0,0,0,-0.6000000000000001,7.5,52.55,1002,-9.1
2022-01-02 03:00:00,0,0,0,-1.1,7.300000000000001,54.07,1003,-9.2
2022-01-02 04:00:00,0,0,0,-1.6,7.300000000000001,55.49,1005,-9.4
2022-01-02 05:00:00,0,0,0,-2.5,7.300000000000001,54.48,1006,-10.4
2022-01-02 06:00:00,0,0,0,-3.2,7.2,51.09,1008,-11.9
2022-01-02 07:00:00,0,0,0,-3.2,7.300000000000001,48.15,1009,-12.6
2022-01-02 08:00:00,173,705,40,-1.9,7.5,44.07,1010,-12.5
2022-01-02 09:00:00,368,882,55,0.0,7.7,39.51,1011,-12.2
2022-01-02 10:00:00,528,962,62,2.2,7.800000000000001,35.14,1012,-11.7
2022-01-02 11:00:00,634,1000,65,4.3,7.800000000000001,32.22,1012,-10.9
2022-01-02 12:00:00,674,1015,65,6.1000000000000005,7.6,30.45,1011,-10.0
2022-01-02 13:00:00,645,1010,61,7.4,7.2,29.36,1010,-9.3
2022-01-02 14:00:00,549,982,55,8.0,6.7,29.05,1010,-9.0
2022-01-02 15:00:00,397,918,48,7.9,6.0,29.42,1010,-8.9
2022-01-02 16:00:00,210,790,37,6.4,4.5,32.49,1011,-8.9
2022-01-02 17:00:00,26,370,13,4.2,2.8000000000000003,41.23,1011,-7.800000000000001
2022-01-02 18:00:00,0,0,0,2.6,2.1,52.04,1012,-6.300000000000001
2022-01-02 19:00:00,0,0,0,1.6,1.7000000000000002,58.17,1012,-5.7
2022-01-02 20:00:00,0,0,0,0.8,1.4,63.35,1013,-5.4
2022-01-02 21:00:00,0,0,0,0.1,1.2000000000000002,67.47,1013,-5.2
2022-01-02 22:00:00,0,0,0,-0.3,1.1,69.31,1013,-5.2
2022-01-02 23:00:00,0,0,0,-0.3,1.0,67.9,1013,-5.5
2022-01-03 00:00:00,0,0,0,-0.1,0.9,64.07000000000001,1013,-6.1000000000000005
2022-01-03 01:00:00,0,0,0,-0.3,0.9,62.690000000000005,1013,-6.6000000000000005
2022-01-03 02:00:00,0,0,0,-0.9,1.0,64.88,1013,-6.7
2022-01-03 03:00:00,0,0,0,-1.6,1.1,68.0,1013,-6.7
2022-01-03 04:00:00,0,0,0,-2.0,1.1,69.44,1013,-6.800000000000001
2022-01-03 05:00:00,0,0,0,-2.3000000000000003,1.1,69.84,1013,-7.1000000000000005
2022-01-03 06:00:00,0,0,0,-2.2,1.1,68.23,1014,-7.300000000000001
2022-01-03 07:00:00,0,0,0,-0.3,1.3,60.08,1014,-7.1000000000000005
2022-01-03 08:00:00,172,734,34,3.2,1.5,48.36,1015,-6.7
2022-01-03 09:00:00,366,902,46,6.9,1.3,34.38,1015,-7.800000000000001
2022-01-03 10:00:00,526,977,52,10.0,1.1,25.1,1014,-9.1
2022-01-03 11:00:00,633,1011,57,11.7,1.1,21.92,1013,-9.4
2022-01-03 12:00:00,676,1017,64,12.8,1.2000000000000002,20.7,1012,-9.2
2022-01-03 13:00:00,647,1011,62,13.4,1.4,20.16,1010,-9.0
2022-01-03 14:00:00,553,982,58,13.6,1.5,20.22,1010,-8.8
2022-01-03 15:00:00,402,908,55,12.9,1.4,21.62,1009,-8.6
2022-01-03 16:00:00,211,760,42,10.1,1.2000000000000002,34.13,1009,-5.0
2022-01-03 17:00:00,27,329,15,6.7,1.2000000000000002,58.11,1009,-1.0
2022-01-03 18:00:00,0,0,0,5.5,1.4,55.82,1010,-2.6
2022-01-03 19:00:00,0,0,0,5.2,1.6,54.81,1010,-3.2
2022-01-03 20:00:00,0,0,0,4.6000000000000005,1.8,55.36,1010,-3.6
2022-01-03 21:00:00,0,0,0,3.9,1.8,57.15,1009,-3.8
2022-01-03 22:00:00,0,0,0,3.6,1.8,58.53,1009,-3.8
2022-01-03 23:00:00,0,0,0,3.6,1.8,58.86,1008,-3.7
2022-01-04 00:00:00,0,0,0,3.7,1.9,59.13,1008,-3.5
2022-01-04 01:00:00,0,0,0,3.6,1.8,60.51,1007,-3.3000000000000003
2022-01-04 02:00:00,0,0,0,2.9000000000000004,1.6,65.1,1007,-3.0
2022-01-04 03:00:00,0,0,0,1.7000000000000002,1.5,71.77,1006,-2.9000000000000004
