datetime,GHI_W_m2,DNI_W_m2,DHI_W_m2,Temp_C,WindSpeed_m_s,RelHumidity_pct
2016-01-01 00:00:00,0.0,0.0,0.0,0.68,0.97,81.8
2016-01-01 01:00:00,0.0,0.0,0.0,0.17,1.0,84.87
2016-01-01 02:00:00,0.0,0.0,0.0,-0.44,1.01,88.58
2016-01-01 03:00:00,0.0,0.0,0.0,-1.01,0.97,91.43
2016-01-01 04:00:00,0.0,0.0,0.0,-1.72,0.99,94.27
2016-01-01 05:00:00,0.0,0.0,0.0,-2.3,0.99,95.5
2016-01-01 06:00:00,0.0,0.0,0.0,-2.62,0.98,94.24
2016-01-01 07:00:00,14.4,83.45,12.13,-2.49,0.93,91.97
2016-01-01 08:00:00,134.02,432.85,56.61,0.33,1.6,77.36
2016-01-01 09:00:00,266.12,549.21,107.33,2.51,1.6,69.87
2016-01-01 10:00:00,366.12,565.45,156.43,6.18,1.69,61.75
2016-01-01 11:00:00,427.0,562.54,176.44,8.05,1.41,58.57
2016-01-01 12:00:00,423.4,501.19,184.58,9.08,1.13,56.93
2016-01-01 13:00:00,380.33,507.78,159.27,9.62,1.01,55.26
2016-01-01 14:00:00,275.35,531.65,98.6,9.69,0.97,54.73
2016-01-01 15:00:00,161.23,355.67,81.13,9.07,0.89,59.39
2016-01-01 16:00:00,32.35,124.93,26.25,6.71,0.71,72.02
2016-01-01 17:00:00,0.0,0.0,0.0,4.86,0.99,74.91
2016-01-01 18:00:00,0.0,0.0,0.0,3.92,1.02,81.62
2016-01-01 19:00:00,0.0,0.0,0.0,3.49,1.05,84.55
2016-01-01 20:00:00,0.0,0.0,0.0,3.14,1.03,85.43
2016-01-01 21:00:00,0.0,0.0,0.0,2.75,1.0,85.69
2016-01-01 22:00:00,0.0,0.0,0.0,2.3,1.01,84.5
2016-01-01 23:00:00,0.0,0.0,0.0,2.15,1.0,83.36
2016-01-02 00:00:00,0.0,0.0,0.0,2.03,0.98,83.13
2016-01-02 01:00:00,0.0,0.0,0.0,1.67,1.02,83.67
2016-01-02 02:00:00,0.0,0.0,0.0,1.4,1.02,86.0
2016-01-02 03:00:00,0.0,0.0,0.0,1.2,1.02,87.94
2016-01-02 04:00:00,0.0,0.0,0.0,1.17,1.0,89.09
2016-01-02 05:00:00,0.0,0.0,0.0,0.9,0.97,90.61
2016-01-02 06:00:00,0.0,0.0,0.0,0.28,0.99,92.26
2016-01-02 07:00:00,8.1,6.25,10.26,-0.03,0.93,92.04
2016-01-02 08:00:00,89.12,64.82,72.21,2.8,1.54,79.09
2016-01-02 09:00:00,183.52,76.72,144.2,4.89,1.51,70.83
2016-01-02 10:00:00,273.48,75.72,221.02,7.97,1.6,67.48
2016-01-02 11:00:00,349.55,151.62,269.44,11.37,2.3,66.09
2016-01-02 12:00:00,364.62,188.22,262.16,12.92,2.65,63.49
2016-01-02 13:00:00,313.92,114.05,242.99,13.57,2.67,60.7
2016-01-02 14:00:00,226.77,75.53,184.12,13.57,2.44,59.05
2016-01-02 15:00:00,127.45,60.45,103.35,12.63,1.38,66.35
2016-01-02 16:00:00,25.02,19.13,24.57,10.17,0.71,74.43
2016-01-02 17:00:00,0.0,0.0,0.0,8.3,1.01,74.38
2016-01-02 18:00:00,0.0,0.0,0.0,6.58,1.13,81.23
2016-01-02 19:00:00,0.0,0.0,0.0,5.78,1.16,80.88
2016-01-02 20:00:00,0.0,0.0,0.0,5.06,1.22,80.35
2016-01-02 21:00:00,0.0,0.0,0.0,4.29,1.25,80.61
2016-01-02 22:00:00,0.0,0.0,0.0,4.28,1.23,80.27
2016-01-02 23:00:00,0.0,0.0,0.0,4.65,1.27,80.04
2016-01-03 00:00:00,0.0,0.0,0.0,4.67,1.36,80.63
2016-01-03 01:00:00,0.0,0.0,0.0,4.11,1.38,83.47
