datetime,GHI_W_m2,DNI_W_m2,DHI_W_m2,Temp_C,WindSpeed_m_s,RelHumidity_pct
2018-01-01 00:00:00,0.0,0.0,0.0,8.51,0.73,100.0
2018-01-01 01:00:00,0.0,0.0,0.0,8.43,0.67,100.0
2018-01-01 02:00:00,0.0,0.0,0.0,8.17,0.65,100.0
2018-01-01 03:00:00,0.0,0.0,0.0,7.9,0.67,100.0
2018-01-01 04:00:00,0.0,0.0,0.0,7.56,0.73,100.0
2018-01-01 05:00:00,0.0,0.0,0.0,7.35,0.72,100.0
2018-01-01 06:00:00,0.0,0.0,0.0,7.19,0.7,100.0
2018-01-01 07:00:00,13.45,59.37,12.97,7.07,0.63,100.0
2018-01-01 08:00:00,127.0,322.12,71.7,8.26,0.63,97.87
2018-01-01 09:00:00,258.5,345.06,159.71,10.31,1.11,87.93
2018-01-01 10:00:00,368.7,494.79,227.96,12.73,1.53,75.24
2018-01-01 11:00:00,460.05,1052.56,188.57,14.46,1.55,66.13
2018-01-01 12:00:00,436.98,755.96,218.92,15.98,1.24,57.14
2018-01-01 13:00:00,369.25,516.49,215.03,16.9,0.99,52.21
2018-01-01 14:00:00,265.52,383.26,167.39,17.08,1.0,51.02
2018-01-01 15:00:00,145.02,180.13,105.99,16.27,0.84,57.55
2018-01-01 16:00:00,28.52,46.39,27.57,13.63,0.78,68.32
2018-01-01 17:00:00,0.0,0.0,0.0,11.7,1.03,70.18
2018-01-01 18:00:00,0.0,0.0,0.0,10.54,1.04,76.19
2018-01-01 19:00:00,0.0,0.0,0.0,10.08,1.0,77.95
2018-01-01 20:00:00,0.0,0.0,0.0,9.95,1.0,76.44
2018-01-01 21:00:00,0.0,0.0,0.0,9.96,0.95,76.01
2018-01-01 22:00:00,0.0,0.0,0.0,10.19,0.9,74.96
2018-01-01 23:00:00,0.0,0.0,0.0,10.24,0.94,74.97
2018-01-02 00:00:00,0.0,0.0,0.0,10.0,1.03,76.57
2018-01-02 01:00:00,0.0,0.0,0.0,9.92,1.05,77.38
