datetime,GHI_W_m2,DNI_W_m2,DHI_W_m2,Temp_C,WindSpeed_m_s,RelHumidity_pct
2017-01-01 00:00:00,0.0,0.0,0.0,5.31,1.94,100.0
2017-01-01 01:00:00,0.0,0.0,0.0,4.86,1.71,100.0
2017-01-01 02:00:00,0.0,0.0,0.0,4.16,1.64,100.0
2017-01-01 03:00:00,0.0,0.0,0.0,3.74,1.74,100.0
2017-01-01 04:00:00,0.0,0.0,0.0,3.37,1.71,100.0
2017-01-01 05:00:00,0.0,0.0,0.0,2.97,1.62,100.0
2017-01-01 06:00:00,0.0,0.0,0.0,2.91,1.57,100.0
2017-01-01 07:00:00,12.0,46.39,14.04,3.67,1.55,100.0
2017-01-01 08:00:00,116.62,324.89,60.86,6.48,2.15,91.72
2017-01-01 09:00:00,244.4,411.05,120.48,7.96,3.14,86.28
2017-01-01 10:00:00,348.9,475.89,156.37,8.76,3.74,79.65
2017-01-01 11:00:00,429.17,531.81,180.82,9.4,4.14,72.4
2017-01-01 12:00:00,451.65,602.38,175.05,9.69,4.31,66.27
2017-01-01 13:00:00,423.35,633.1,149.26,9.68,4.15,63.14
2017-01-01 14:00:00,324.38,641.6,105.93,9.3,3.95,62.76
2017-01-01 15:00:00,190.05,575.97,59.49,8.43,3.54,66.86
2017-01-01 16:00:00,44.53,280.62,21.81,6.25,2.02,80.94
2017-01-01 17:00:00,0.0,0.0,0.0,3.86,1.45,93.88
2017-01-01 18:00:00,0.0,0.0,0.0,3.33,1.38,98.29
2017-01-01 19:00:00,0.0,0.0,0.0,2.97,1.33,100.0
2017-01-01 20:00:00,0.0,0.0,0.0,2.81,1.29,100.0
2017-01-01 21:00:00,0.0,0.0,0.0,2.57,1.25,100.0
2017-01-01 22:00:00,0.0,0.0,0.0,2.41,1.21,100.0
2017-01-01 23:00:00,0.0,0.0,0.0,2.51,1.19,99.59
2017-01-02 00:00:00,0.0,0.0,0.0,2.95,1.13,97.14
2017-01-02 01:00:00,0.0,0.0,0.0,3.46,1.02,94.69
2017-01-02 02:00:00,0.0,0.0,0.0,3.64,0.99,94.12
2017-01-02 03:00:00,0.0,0.0,0.0,3.69,1.0,94.77
2017-01-02 04:00:00,0.0,0.0,0.0,3.73,1.0,95.68
2017-01-02 05:00:00,0.0,0.0,0.0,3.82,0.95,95.85
2017-01-02 06:00:00,0.0,0.0,0.0,3.84,0.92,96.13
2017-01-02 07:00:00,8.18,14.97,10.15,3.94,0.9,96.07
2017-01-02 08:00:00,74.78,51.29,63.35,4.95,0.83,95.35
2017-01-02 09:00:00,167.35,84.81,131.34,6.19,1.35,92.17
2017-01-02 10:00:00,245.85,113.52,188.0,6.94,2.12,87.86
2017-01-02 11:00:00,292.73,189.08,206.47,7.76,2.78,81.71
2017-01-02 12:00:00,259.12,73.96,207.28,7.82,3.06,78.83
2017-01-02 13:00:00,125.28,0.85,108.38,7.52,2.94,79.99
2017-01-02 14:00:00,150.6,87.68,114.89,7.34,2.88,81.91
2017-01-02 15:00:00,95.1,144.3,66.58,7.02,2.47,85.64
2017-01-02 16:00:00,25.45,82.96,22.2,5.99,1.36,93.48
2017-01-02 17:00:00,0.0,0.0,0.0,4.84,1.06,98.75
2017-01-02 18:00:00,0.0,0.0,0.0,4.34,1.07,100.0
2017-01-02 19:00:00,0.0,0.0,0.0,4.19,1.16,100.0
2017-01-02 20:00:00,0.0,0.0,0.0,4.71,1.18,100.0
2017-01-02 21:00:00,0.0,0.0,0.0,5.2,1.17,100.0
2017-01-02 22:00:00,0.0,0.0,0.0,5.94,1.37,99.25
2017-01-02 23:00:00,0.0,0.0,0.0,6.29,1.62,98.37
2017-01-03 00:00:00,0.0,0.0,0.0,6.5,1.83,97.75
2017-01-03 01:00:00,0.0,0.0,0.0,6.51,1.67,97.68
2017-01-03 02:00:00,0.0,0.0,0.0,6.27,1.5,97.83
2017-01-03 03:00:00,0.0,0.0,0.0,6.2,1.73,97.13
2017-01-03 04:00:00,0.0,0.0,0.0,6.18,2.14,96.21
2017-01-03 05:00:00,0.0,0.0,0.0,5.95,2.02,96.36
2017-01-03 06:00:00,0.0,0.0,0.0,5.71,2.08,96.24
2017-01-03 07:00:00,7.7,0.0,8.24,5.49,2.37,95.77
2017-01-03 08:00:00,64.65,0.0,58.03,6.26,3.15,93.27
2017-01-03 09:00:00,144.07,5.55,125.5,7.47,3.48,91.62
2017-01-03 10:00:00,191.07,29.63,161.23,9.05,4.03,89.96
2017-01-03 11:00:00,172.1,18.77,144.68,10.35,4.53,88.52
2017-01-03 12:00:00,115.57,3.48,95.43,11.28,4.86,86.64
2017-01-03 13:00:00,45.85,0.0,39.09,11.49,4.77,87.12
2017-01-03 14:00:00,76.43,0.0,65.87,11.34,4.62,89.26
2017-01-03 15:00:00,54.47,0.0,47.77,11.08,4.8,91.39
2017-01-03 16:00:00,13.57,0.0,13.46,10.92,5.24,92.7
2017-01-03 17:00:00,0.0,0.0,0.0,10.88,5.9,93.28
2017-01-03 18:00:00,0.0,0.0,0.0,10.85,6.3,93.45
2017-01-03 19:00:00,0.0,0.0,0.0,10.95,6.41,93.3
2017-01-03 20:00:00,0.0,0.0,0.0,11.17,6.2,93.01
2017-01-03 21:00:00,0.0,0.0,0.0,11.41,5.85,93.07
2017-01-03 22:00:00,0.0,0.0,0.0,11.71,5.67,93.32
2017-01-03 23:00:00,0.0,0.0,0.0,11.94,5.39,94.06
2017-01-04 00:00:00,0.0,0.0,0.0,12.12,5.17,94.71
2017-01-04 01:00:00,0.0,0.0,0.0,12.3,5.01,94.9
2017-01-04 02:00:00,0.0,0.0,0.0,12.38,4.6,95.47
2017-01-04 03:00:00,0.0,0.0,0.0,12.42,4.62,95.82
2017-01-04 04:00:00,0.0,0.0,0.0,12.4,4.18,96.23
2017-01-04 05:00:00,0.0,0.0,0.0,12.26,3.07,96.81
2017-01-04 06:00:00,0.0,0.0,0.0,11.81,1.52,97.96
2017-01-04 07:00:00,3.75,0.0,4.01,11.52,1.2,98.38
2017-01-04 08:00:00,26.8,5.15,23.88,11.66,1.25,97.52
2017-01-04 09:00:00,55.7,7.06,48.1,11.97,1.86,95.03
2017-01-04 10:00:00,76.88,15.71,63.2,11.77,1.59,93.59
2017-01-04 11:00:00,99.3,47.3,75.78,11.73,1.9,91.77
2017-01-04 12:00:00,179.1,55.7,140.32,11.18,2.19,91.47
2017-01-04 13:00:00,150.0,29.74,124.16,10.4,2.32,91.47
2017-01-04 14:00:00,114.2,20.5,97.98,9.94,2.25,90.49
